iter	Passed	Remaining
0	6	1342
1	7	697
2	7	473
3	7	361
4	7	294
5	7	248
6	7	217
7	8	197
8	8	179
9	8	163
10	8	150
11	8	139
12	8	129
13	9	121
14	9	114
15	9	109
16	9	103
17	9	98
18	9	93
19	9	89
20	10	86
21	10	83
22	10	80
23	10	77
24	10	75
25	10	73
26	11	70
27	11	68
28	11	66
29	11	65
30	11	63
31	11	62
32	11	60
33	12	58
34	12	57
35	12	56
36	12	54
37	12	53
38	12	52
39	12	51
40	13	50
41	13	49
42	13	48
43	13	47
44	13	47
45	13	46
46	13	45
47	14	44
48	14	43
49	14	43
50	14	42
51	14	41
52	14	41
53	15	41
54	15	40
55	15	40
56	15	39
57	16	39
58	16	38
59	16	38
60	16	38
61	17	38
62	17	37
63	17	37
64	17	36
65	17	36
66	17	35
67	18	34
68	18	34
69	18	34
70	18	33
71	18	33
72	18	32
73	19	32
74	19	32
75	19	31
76	19	31
77	19	30
78	19	30
79	20	30
80	20	29
81	20	29
82	20	29
83	20	28
84	21	28
85	21	28
86	21	27
87	21	27
88	21	27
89	21	26
90	22	26
91	22	26
92	22	25
93	22	25
94	22	25
95	22	24
96	23	24
97	23	24
98	23	23
99	23	23
100	23	23
101	23	22
102	24	22
103	24	22
104	24	22
105	24	21
106	24	21
107	24	21
108	25	20
109	25	20
110	25	20
111	25	20
112	25	19
113	26	19
114	26	19
115	26	19
116	26	18
117	26	18
118	27	18
119	27	18
120	27	18
121	27	17
122	28	17
123	28	17
124	28	17
125	28	16
126	28	16
127	29	16
128	29	16
129	29	15
130	29	15
131	29	15
132	30	15
133	30	15
134	30	14
135	30	14
136	31	14
137	31	14
138	31	13
139	31	13
140	31	13
141	32	13
142	32	12
143	32	12
144	32	12
145	32	12
146	33	11
147	33	11
148	33	11
149	33	11
150	33	10
151	33	10
152	34	10
153	34	10
154	34	10
155	34	9
156	35	9
157	35	9
158	35	9
159	35	8
160	35	8
161	35	8
162	36	8
163	36	7
164	36	7
165	36	7
166	36	7
167	37	7
168	37	6
169	37	6
170	37	6
171	37	6
172	38	5
173	38	5
174	38	5
175	39	5
176	39	5
177	39	4
178	39	4
179	39	4
180	40	4
181	40	3
182	40	3
183	40	3
184	40	3
185	41	3
186	41	2
187	41	2
188	41	2
189	41	2
190	41	1
191	42	1
192	42	1
193	42	1
194	42	1
195	42	0
196	42	0
197	43	0
198	43	0
199	43	0
